,time,price,change,volume,amount,type
0,09:25:01,15.54,0.1,2091,3249414,买盘
1,09:30:01,15.51,-0.03,630,978868,卖盘
2,09:30:05,15.55,0.04,2160,3357749,买盘
3,09:30:07,15.55,0.0,1491,2319658,卖盘
4,09:30:10,15.54,-0.01,490,761868,卖盘
5,09:30:13,15.54,0.0,122,189590,卖盘
6,09:30:16,15.54,0.0,281,436764,买盘
7,09:30:19,15.54,0.0,116,180244,买盘
8,09:30:22,15.55,0.01,57,88633,买盘
9,09:30:25,15.54,-0.01,268,416915,卖盘
10,09:30:28,15.54,0.0,46,71488,卖盘
11,09:30:31,15.54,0.0,149,231544,卖盘
12,09:30:34,15.55,0.01,167,259575,买盘
13,09:30:37,15.54,-0.01,593,921005,卖盘
14,09:30:40,15.52,-0.02,108,167649,卖盘
15,09:30:43,15.52,0.0,743,1152030,卖盘
16,09:30:46,15.51,-0.01,153,237423,中性盘
17,09:30:49,15.51,0.0,111,172125,买盘
18,09:30:52,15.51,0.0,345,535147,卖盘
19,09:30:55,15.52,0.01,72,111729,买盘
20,09:30:58,15.5,-0.02,318,493291,卖盘
21,09:31:01,15.51,0.01,46,71321,买盘
22,09:31:05,15.51,0.0,233,361297,买盘
23,09:31:07,15.49,-0.02,409,633694,卖盘
24,09:31:10,15.5,0.01,255,395175,买盘
25,09:31:13,15.49,-0.01,81,125529,卖盘
26,09:31:16,15.49,0.0,237,367323,卖盘
27,09:31:19,15.51,0.02,60,92972,买盘
28,09:31:22,15.5,-0.01,520,806181,卖盘
29,09:31:25,15.51,0.01,121,187667,买盘
30,09:31:28,15.53,0.02,237,367804,买盘
31,09:31:30,15.53,0.0,847,1315392,买盘
32,09:31:34,15.53,0.0,119,184922,卖盘
33,09:31:37,15.55,0.02,126,195825,买盘
34,09:31:40,15.55,0.0,171,265847,买盘
35,09:31:43,15.56,0.01,192,298420,买盘
36,09:31:46,15.56,0.0,293,455920,买盘
37,09:31:49,15.56,0.0,38,59153,卖盘
38,09:31:52,15.56,0.0,44,68483,卖盘
39,09:31:55,15.56,0.0,442,688037,卖盘
40,09:31:58,15.57,0.01,106,164988,中性盘
41,09:32:01,15.56,-0.01,340,529221,卖盘
42,09:32:05,15.57,0.01,127,197687,买盘
43,09:32:07,15.57,0.0,143,222606,买盘
44,09:32:10,15.57,0.0,344,535761,买盘
45,09:32:13,15.57,0.0,306,476331,卖盘
46,09:32:16,15.58,0.01,262,407950,买盘
47,09:32:19,15.57,-0.01,487,758341,卖盘
48,09:32:22,15.57,0.0,144,224176,买盘
49,09:32:25,15.57,0.0,78,121438,买盘
50,09:32:28,15.57,0.0,240,373593,买盘
51,09:32:31,15.56,-0.01,208,323647,卖盘
52,09:32:34,15.56,0.0,154,239575,买盘
53,09:32:37,15.56,0.0,114,177384,买盘
54,09:32:40,15.55,-0.01,224,348396,卖盘
55,09:32:43,15.55,0.0,296,460284,卖盘
56,09:32:46,15.55,0.0,25,38879,中性盘
57,09:32:49,15.54,-0.01,82,127479,卖盘
58,09:32:52,15.53,-0.01,199,309169,卖盘
59,09:32:55,15.54,0.01,9,13986,买盘
60,09:32:58,15.54,0.0,163,253228,买盘
61,09:33:01,15.54,0.0,72,111807,买盘
62,09:33:04,15.53,-0.01,8,12424,中性盘
63,09:33:07,15.53,0.0,151,234404,买盘
64,09:33:10,15.52,-0.01,28,43460,卖盘
65,09:33:13,15.52,0.0,321,498358,卖盘
66,09:33:16,15.53,0.01,144,223629,买盘
67,09:33:19,15.5,-0.03,1317,2044267,卖盘
68,09:33:22,15.54,0.04,200,310700,买盘
69,09:33:24,15.54,0.0,34,52836,买盘
70,09:33:27,15.5,-0.04,306,475128,卖盘
71,09:33:31,15.53,0.03,81,125825,买盘
72,09:33:34,15.53,0.0,152,235878,买盘
73,09:33:37,15.52,-0.01,17,26383,买盘
74,09:33:39,15.52,0.0,28,43452,买盘
75,09:33:43,15.52,0.0,85,131910,卖盘
76,09:33:46,15.52,0.0,118,183058,买盘
77,09:33:49,15.52,0.0,39,60515,买盘
78,09:33:52,15.52,0.0,281,436888,买盘
79,09:33:55,15.52,0.0,90,139680,卖盘
80,09:33:58,15.52,0.0,190,294977,卖盘
81,09:34:01,15.52,0.0,122,189344,卖盘
82,09:34:05,15.52,0.0,188,290966,卖盘
83,09:34:07,15.52,0.0,106,164507,买盘
84,09:34:13,15.51,-0.01,139,215674,卖盘
85,09:34:16,15.51,0.0,322,499448,卖盘
86,09:34:19,15.51,0.0,47,72910,卖盘
87,09:34:22,15.51,0.0,69,106999,买盘
88,09:34:25,15.51,0.0,24,37210,买盘
89,09:34:27,15.49,-0.02,477,739332,卖盘
90,09:34:31,15.5,0.01,33,51170,中性盘
91,09:34:34,15.49,-0.01,39,60411,卖盘
92,09:34:37,15.49,0.0,53,82097,卖盘
93,09:34:40,15.49,0.0,82,127018,卖盘
94,09:34:42,15.49,0.0,35,54215,买盘
95,09:34:46,15.49,0.0,26,40249,买盘
96,09:34:48,15.48,-0.01,303,469288,卖盘
97,09:34:52,15.49,0.01,94,145572,卖盘
98,09:34:55,15.49,0.0,83,128614,卖盘
99,09:34:58,15.51,0.02,635,984314,买盘
100,09:35:01,15.5,-0.01,80,124000,卖盘
101,09:35:04,15.5,0.0,75,116276,卖盘
102,09:35:07,15.49,-0.01,179,277410,卖盘
103,09:35:10,15.49,0.0,224,347084,卖盘
104,09:35:13,15.49,0.0,27,41823,买盘
105,09:35:16,15.49,0.0,61,94458,买盘
106,09:35:19,15.49,0.0,110,170296,买盘
107,09:35:22,15.49,0.0,136,210675,买盘
108,09:35:25,15.5,0.01,30,46476,买盘
109,09:35:28,15.49,-0.01,67,103812,卖盘
110,09:35:31,15.49,0.0,136,210686,卖盘
111,09:35:33,15.49,0.0,391,605707,卖盘
112,09:35:37,15.49,0.0,13,20137,买盘
113,09:35:40,15.48,-0.01,183,283455,卖盘
114,09:35:43,15.47,-0.01,187,289495,卖盘
115,09:35:46,15.48,0.01,93,143964,买盘
116,09:35:49,15.48,0.0,332,513876,买盘
117,09:35:52,15.48,0.0,269,416214,买盘
118,09:35:55,15.48,0.0,262,405571,买盘
119,09:35:58,15.49,0.01,285,441406,买盘
120,09:36:01,15.48,-0.01,129,199695,卖盘
121,09:36:04,15.48,0.0,108,167195,卖盘
122,09:36:07,15.5,0.02,335,518675,买盘
123,09:36:10,15.5,0.0,564,872986,买盘
124,09:36:13,15.5,0.0,103,159611,买盘
125,09:36:16,15.49,-0.01,27,41841,卖盘
126,09:36:19,15.48,-0.01,142,219983,卖盘
127,09:36:22,15.48,0.0,63,97567,卖盘
128,09:36:25,15.49,0.01,363,562465,买盘
129,09:36:28,15.5,0.01,143,222828,买盘
130,09:36:31,15.5,0.0,45,69750,买盘
131,09:36:34,15.5,0.0,618,957252,卖盘
132,09:36:37,15.5,0.0,611,948614,卖盘
133,09:36:40,15.52,0.02,136,210403,买盘
134,09:36:43,15.52,0.0,59,91559,买盘
135,09:36:46,15.5,-0.02,199,308766,卖盘
136,09:36:49,15.52,0.02,146,226520,买盘
137,09:36:52,15.52,0.0,45,69780,买盘
138,09:36:55,15.51,-0.01,185,287100,中性盘
139,09:36:58,15.51,0.0,198,306933,买盘
140,09:37:00,15.51,0.0,99,153469,买盘
