,time,price,change,volume,amount,type
0,09:25:01,14.9,0.09,1570,2339300,卖盘
1,09:30:01,14.96,0.06,242,361456,买盘
2,09:30:04,14.93,-0.03,2195,3272689,卖盘
3,09:30:07,14.95,0.02,76,113503,中性盘
4,09:30:10,14.95,0.0,107,160008,卖盘
5,09:30:13,14.96,0.01,47,70330,中性盘
6,09:30:16,14.97,0.01,50,74829,买盘
7,09:30:18,14.97,0.0,225,336571,买盘
8,09:30:22,14.98,0.01,56,83872,买盘
9,09:30:25,14.97,-0.01,73,109295,卖盘
10,09:30:27,14.98,0.01,455,681386,买盘
11,09:30:31,14.99,0.01,176,263736,买盘
12,09:30:33,14.98,-0.01,901,1350327,卖盘
13,09:30:37,15.0,0.02,108,161839,买盘
14,09:30:39,15.0,0.0,24,35984,买盘
15,09:30:43,14.99,-0.01,71,106456,卖盘
16,09:30:46,15.0,0.01,98,146982,买盘
17,09:30:48,15.0,0.0,107,160509,卖盘
18,09:30:51,14.99,-0.01,254,381017,卖盘
19,09:30:55,14.98,-0.01,251,376077,卖盘
20,09:30:58,14.97,-0.01,181,270942,中性盘
21,09:31:01,14.97,0.0,141,211045,买盘
22,09:31:05,14.95,-0.02,55,82237,卖盘
23,09:31:07,14.93,-0.02,147,219692,卖盘
24,09:31:10,14.95,0.02,48,71665,买盘
25,09:31:13,14.93,-0.02,650,971508,中性盘
26,09:31:16,14.93,0.0,156,232828,卖盘
27,09:31:19,14.94,0.01,114,170219,中性盘
28,09:31:22,14.95,0.01,21,31387,买盘
29,09:31:24,14.95,0.0,216,322654,卖盘
30,09:31:28,14.94,-0.01,26,38864,中性盘
31,09:31:31,14.95,0.01,22,32897,买盘
32,09:31:34,14.94,-0.01,109,162948,卖盘
33,09:31:36,14.94,0.0,50,74683,买盘
34,09:31:40,14.93,-0.01,414,618502,卖盘
35,09:31:43,14.94,0.01,102,152365,买盘
36,09:31:46,14.95,0.01,14,20921,买盘
37,09:31:48,14.95,0.0,87,130033,买盘
38,09:31:52,14.94,-0.01,15,22410,卖盘
39,09:31:55,14.95,0.01,267,399023,买盘
40,09:31:58,14.93,-0.02,319,476637,卖盘
41,09:32:01,14.94,0.01,272,406321,买盘
42,09:32:04,14.93,-0.01,327,488227,卖盘
43,09:32:07,14.93,0.0,42,62670,买盘
44,09:32:10,14.93,0.0,99,147758,买盘
45,09:32:12,14.93,0.0,1046,1559957,买盘
46,09:32:16,14.93,0.0,395,589718,买盘
47,09:32:19,14.93,0.0,71,106023,卖盘
48,09:32:22,14.93,0.0,109,162749,卖盘
49,09:32:25,14.93,0.0,480,716800,卖盘
50,09:32:28,14.93,0.0,182,271773,卖盘
51,09:32:31,14.93,0.0,126,188172,卖盘
52,09:32:34,14.92,-0.01,117,174604,卖盘
53,09:32:37,14.92,0.0,316,471206,买盘
54,09:32:40,14.92,0.0,58,86541,卖盘
55,09:32:43,14.93,0.01,213,317859,买盘
56,09:32:46,14.92,-0.01,190,283605,卖盘
57,09:32:49,14.91,-0.01,86,128309,卖盘
58,09:32:52,14.9,-0.01,123,183391,卖盘
59,09:32:54,14.91,0.01,1071,1595858,中性盘
60,09:32:58,14.92,0.01,129,192397,买盘
61,09:33:00,14.92,0.0,77,114886,卖盘
62,09:33:05,14.92,0.0,389,580360,卖盘
63,09:33:07,14.92,0.0,119,177477,买盘
64,09:33:10,14.91,-0.01,204,304201,卖盘
65,09:33:13,14.91,0.0,85,126740,卖盘
66,09:33:16,14.91,0.0,50,74553,买盘
67,09:33:19,14.9,-0.01,290,432189,卖盘
68,09:33:22,14.92,0.02,359,535085,买盘
69,09:33:25,14.9,-0.02,67,99864,卖盘
70,09:33:27,14.91,0.01,112,166904,买盘
71,09:33:31,14.91,0.0,122,181902,卖盘
72,09:33:33,14.91,0.0,366,545892,卖盘
73,09:33:37,14.91,0.0,21,31316,卖盘
74,09:33:39,14.91,0.0,161,240094,卖盘
75,09:33:43,14.91,0.0,48,71568,卖盘
76,09:33:46,14.91,0.0,46,68598,卖盘
77,09:33:49,14.91,0.0,484,721644,卖盘
78,09:33:52,14.91,0.0,109,162507,买盘
79,09:33:55,14.9,-0.01,20,29810,卖盘
80,09:33:58,14.91,0.01,38,56662,中性盘
81,09:34:01,14.9,-0.01,723,1077407,卖盘
82,09:34:05,14.89,-0.01,554,824921,卖盘
83,09:34:07,14.9,0.01,284,422650,买盘
84,09:34:10,14.89,-0.01,251,373766,中性盘
85,09:34:13,14.89,0.0,109,162256,卖盘
86,09:34:16,14.89,0.0,116,172706,买盘
87,09:34:19,14.88,-0.01,87,129483,卖盘
88,09:34:22,14.88,0.0,163,242679,卖盘
89,09:34:25,14.88,0.0,81,120530,卖盘
90,09:34:28,14.88,0.0,126,187467,买盘
91,09:34:31,14.87,-0.01,278,413399,卖盘
92,09:34:34,14.87,0.0,370,550109,买盘
93,09:34:37,14.87,0.0,123,182792,买盘
94,09:34:40,14.87,0.0,98,145664,买盘
95,09:34:43,14.87,0.0,168,249734,买盘
96,09:34:45,14.87,0.0,40,59480,卖盘
97,09:34:49,14.87,0.0,99,147253,卖盘
98,09:34:52,14.87,0.0,1277,1895774,卖盘
99,09:34:55,14.85,-0.02,182,270684,中性盘
100,09:34:58,14.87,0.02,106,157412,买盘
101,09:35:01,14.87,0.0,101,150050,买盘
102,09:35:05,14.87,0.0,1194,1771892,买盘
103,09:35:07,14.87,0.0,63,93673,中性盘
104,09:35:10,14.85,-0.02,46,68334,卖盘
105,09:35:13,14.88,0.03,150,223061,买盘
106,09:35:16,14.89,0.01,508,755924,买盘
107,09:35:19,14.87,-0.02,32,47641,卖盘
108,09:35:22,14.9,0.03,10,14890,买盘
109,09:35:25,14.9,0.0,28,41720,买盘
110,09:35:28,14.92,0.02,185,275688,买盘
111,09:35:31,14.92,0.0,3,4476,买盘
112,09:35:34,14.92,0.0,563,838884,买盘
113,09:35:36,14.93,0.01,134,199958,买盘
114,09:35:40,14.93,0.0,121,180548,买盘
115,09:35:43,14.93,0.0,96,143393,买盘
116,09:35:46,14.95,0.02,18,26884,买盘
117,09:35:49,14.93,-0.02,15,22395,卖盘
118,09:35:52,14.95,0.02,149,222743,买盘
119,09:35:55,14.95,0.0,42,62790,买盘
120,09:35:58,14.94,-0.01,825,1231573,卖盘
121,09:36:01,14.95,0.01,305,456054,买盘
122,09:36:05,14.93,-0.02,553,824256,卖盘
123,09:36:07,14.93,0.0,113,168709,买盘
124,09:36:10,14.93,0.0,188,280594,买盘
125,09:36:13,14.93,0.0,47,70203,中性盘
126,09:36:16,14.92,-0.01,238,355367,卖盘
127,09:36:19,14.92,0.0,34,50746,卖盘
128,09:36:22,14.92,0.0,187,279045,卖盘
129,09:36:25,14.91,-0.01,272,405879,卖盘
130,09:36:28,14.93,0.02,145,216386,买盘
131,09:36:31,14.93,0.0,185,275982,买盘
132,09:36:33,14.93,0.0,73,108953,买盘
133,09:36:37,14.93,0.0,186,277684,买盘
134,09:36:40,14.94,0.01,114,170200,买盘
135,09:36:43,14.93,-0.01,68,101500,卖盘
136,09:36:46,14.94,0.01,110,164224,买盘
137,09:36:48,14.93,-0.01,82,122470,卖盘
138,09:36:52,14.93,0.0,203,302978,卖盘
139,09:36:55,14.93,0.0,74,110482,买盘
140,09:36:57,14.93,0.0,95,141835,买盘
141,09:37:01,14.92,-0.01,14,22116,卖盘
142,09:37:05,14.93,0.01,107,159746,买盘
143,09:37:07,14.93,0.0,148,220888,买盘
144,09:37:10,14.93,0.0,173,258289,卖盘
145,09:37:13,14.93,0.0,162,241997,卖盘
146,09:37:15,14.94,0.01,67,100076,中性盘
147,09:37:19,14.93,-0.01,26,38836,卖盘
148,09:37:22,14.94,0.01,49,73206,中性盘
149,09:37:25,14.95,0.01,85,126981,买盘
150,09:37:28,14.94,-0.01,103,153915,卖盘
151,09:37:31,14.95,0.01,109,162944,买盘
152,09:37:34,14.94,-0.01,121,180883,卖盘
153,09:37:37,14.95,0.01,12,17942,卖盘
154,09:37:40,14.95,0.0,105,157010,卖盘
155,09:37:43,14.95,0.0,49,73289,卖盘
156,09:37:46,14.96,0.01,89,133134,买盘
157,09:37:49,14.97,0.01,16,23952,买盘
158,09:37:52,14.96,-0.01,181,270196,卖盘
159,09:37:55,14.97,0.01,16,23956,中性盘
160,09:37:58,14.98,0.01,85,127330,买盘
161,09:38:01,14.99,0.01,49,73424,买盘
162,09:38:05,14.98,-0.01,196,293801,卖盘
163,09:38:07,15.0,0.02,493,739460,买盘
164,09:38:10,15.02,0.02,436,654621,买盘
165,09:38:13,15.01,-0.01,94,141179,中性盘
166,09:38:16,15.02,0.01,418,627530,买盘
167,09:38:18,15.03,0.01,239,359262,买盘
168,09:38:22,15.02,-0.01,142,213459,卖盘
169,09:38:25,15.03,0.01,143,214981,中性盘
170,09:38:28,15.04,0.01,495,744826,买盘
