,time,price,change,volume,amount,type
0,09:25:01,15.45,0.01,4004,6187493,买盘
1,09:30:01,15.45,0.0,780,1204811,卖盘
2,09:30:05,15.4,-0.05,3217,4966620,卖盘
3,09:30:07,15.4,0.0,791,1220409,卖盘
4,09:30:10,15.4,0.0,514,792231,买盘
5,09:30:13,15.4,0.0,353,543984,买盘
6,09:30:16,15.41,0.01,191,294431,中性盘
7,09:30:19,15.43,0.02,200,308343,买盘
8,09:30:22,15.39,-0.04,244,375749,卖盘
9,09:30:25,15.39,0.0,318,489677,卖盘
10,09:30:28,15.39,0.0,79,121687,卖盘
11,09:30:31,15.41,0.02,138,212611,买盘
12,09:30:34,15.42,0.01,365,562565,买盘
13,09:30:36,15.4,-0.02,400,617445,卖盘
14,09:30:40,15.43,0.03,274,423018,买盘
15,09:30:42,15.45,0.02,355,548237,买盘
16,09:30:46,15.46,0.01,750,1158733,买盘
17,09:30:49,15.45,-0.01,62,95741,卖盘
18,09:30:52,15.46,0.01,110,170012,买盘
19,09:30:55,15.46,0.0,176,272044,买盘
20,09:30:58,15.46,0.0,143,220977,买盘
21,09:31:01,15.45,-0.01,231,356859,卖盘
22,09:31:04,15.44,-0.01,373,576764,卖盘
23,09:31:07,15.45,0.01,383,591540,中性盘
24,09:31:10,15.44,-0.01,10,15443,中性盘
25,09:31:13,15.45,0.01,334,515097,买盘
26,09:31:16,15.42,-0.03,346,534373,卖盘
27,09:31:19,15.44,0.02,435,671440,买盘
28,09:31:22,15.44,0.0,64,98823,买盘
29,09:31:25,15.44,0.0,211,325866,买盘
30,09:31:28,15.44,0.0,632,975979,中性盘
31,09:31:31,15.44,0.0,453,699711,卖盘
32,09:31:34,15.43,-0.01,204,314865,中性盘
33,09:31:37,15.42,-0.01,83,128044,卖盘
34,09:31:40,15.43,0.01,237,365679,买盘
35,09:31:43,15.43,0.0,96,148523,中性盘
36,09:31:46,15.42,-0.01,361,556728,卖盘
37,09:31:49,15.43,0.01,147,226287,买盘
38,09:31:52,15.42,-0.01,49,75558,中性盘
39,09:31:55,15.41,-0.01,71,109422,卖盘
40,09:31:57,15.41,0.0,192,295918,卖盘
41,09:32:00,15.42,0.01,432,665788,买盘
42,09:32:04,15.41,-0.01,414,638131,卖盘
43,09:32:07,15.42,0.01,364,561155,买盘
44,09:32:10,15.42,0.0,265,408630,卖盘
45,09:32:13,15.42,0.0,314,484242,卖盘
46,09:32:16,15.43,0.01,226,348628,买盘
47,09:32:19,15.43,0.0,166,255974,买盘
48,09:32:21,15.42,-0.01,110,169627,卖盘
49,09:32:25,15.43,0.01,345,532624,买盘
50,09:32:28,15.43,0.0,103,158882,卖盘
51,09:32:31,15.43,0.0,89,137327,卖盘
52,09:32:34,15.44,0.01,149,229894,买盘
53,09:32:37,15.43,-0.01,533,821501,卖盘
54,09:32:40,15.43,0.0,78,120364,买盘
55,09:32:43,15.43,0.0,414,639172,卖盘
56,09:32:46,15.44,0.01,74,114218,买盘
57,09:32:49,15.44,0.0,382,589303,卖盘
58,09:32:52,15.44,0.0,120,185173,买盘
59,09:32:55,15.44,0.0,116,179127,买盘
60,09:32:58,15.44,0.0,104,160576,卖盘
61,09:33:00,15.44,0.0,148,228467,卖盘
62,09:33:05,15.44,0.0,167,257837,卖盘
63,09:33:07,15.44,0.0,167,258275,买盘
64,09:33:10,15.43,-0.01,68,104984,卖盘
65,09:33:13,15.43,0.0,102,157420,卖盘
66,09:33:16,15.43,0.0,131,202187,卖盘
67,09:33:19,15.44,0.01,328,505870,买盘
68,09:33:22,15.44,0.0,275,424152,买盘
69,09:33:25,15.42,-0.02,581,896502,中性盘
70,09:33:27,15.41,-0.01,433,666859,卖盘
71,09:33:30,15.4,-0.01,74,113998,卖盘
72,09:33:34,15.4,0.0,1163,1791040,卖盘
73,09:33:37,15.41,0.01,80,123211,买盘
74,09:33:39,15.4,-0.01,151,232555,卖盘
75,09:33:43,15.4,0.0,76,117029,买盘
76,09:33:46,15.39,-0.01,204,314021,卖盘
77,09:33:49,15.39,0.0,46,70795,卖盘
78,09:33:52,15.39,0.0,169,260122,卖盘
79,09:33:55,15.39,0.0,249,383308,卖盘
80,09:33:58,15.39,0.0,547,841957,卖盘
81,09:34:01,15.39,0.0,431,663309,卖盘
82,09:34:05,15.39,0.0,765,1177762,卖盘
83,09:34:07,15.39,0.0,566,870736,卖盘
84,09:34:10,15.38,-0.01,121,186153,卖盘
85,09:34:13,15.38,0.0,336,516508,卖盘
86,09:34:16,15.37,-0.01,210,322790,卖盘
87,09:34:19,15.37,0.0,175,269058,卖盘
88,09:34:22,15.37,0.0,508,780805,卖盘
89,09:34:25,15.37,0.0,434,667253,买盘
90,09:34:28,15.36,-0.01,344,528661,卖盘
91,09:34:31,15.38,0.02,294,451857,买盘
92,09:34:34,15.39,0.01,1875,2885987,买盘
93,09:34:37,15.38,-0.01,183,281988,卖盘
94,09:34:40,15.4,0.02,111,170786,买盘
95,09:34:43,15.39,-0.01,180,276984,买盘
96,09:34:46,15.41,0.02,278,427915,买盘
97,09:34:49,15.4,-0.01,754,1160630,买盘
98,09:34:52,15.39,-0.01,93,143167,卖盘
99,09:34:55,15.4,0.01,89,137119,卖盘
100,09:34:58,15.4,0.0,138,212449,卖盘
101,09:35:01,15.39,-0.01,105,161630,卖盘
102,09:35:04,15.4,0.01,105,161696,买盘
103,09:35:07,15.38,-0.02,202,310967,卖盘
104,09:35:10,15.4,0.02,196,301746,买盘
105,09:35:13,15.39,-0.01,197,303305,卖盘
106,09:35:16,15.41,0.02,333,512591,买盘
107,09:35:19,15.41,0.0,122,187940,买盘
108,09:35:22,15.4,-0.01,398,612946,卖盘
109,09:35:25,15.4,0.0,105,161701,卖盘
110,09:35:27,15.4,0.0,231,355638,卖盘
111,09:35:31,15.4,0.0,43,66200,买盘
112,09:35:34,15.39,-0.01,12,18470,中性盘
113,09:35:37,15.39,0.0,108,166206,卖盘
114,09:35:40,15.39,0.0,152,233921,买盘
115,09:35:43,15.38,-0.01,1052,1619491,卖盘
116,09:35:46,15.39,0.01,67,103099,买盘
117,09:35:49,15.39,0.0,108,166231,卖盘
118,09:35:51,15.38,-0.01,149,229651,卖盘
119,09:35:55,15.38,0.0,65,99972,卖盘
120,09:35:58,15.39,0.01,74,113850,买盘
121,09:36:01,15.38,-0.01,78,119072,卖盘
122,09:36:05,15.38,0.0,221,340888,买盘
123,09:36:07,15.38,0.0,195,299910,卖盘
124,09:36:10,15.38,0.0,99,151367,卖盘
125,09:36:13,15.39,0.01,525,808618,买盘
126,09:36:16,15.39,0.0,330,507535,卖盘
127,09:36:18,15.39,0.0,159,244748,买盘
128,09:36:21,15.38,-0.01,304,467661,卖盘
129,09:36:25,15.38,0.0,15,23075,卖盘
130,09:36:27,15.38,0.0,124,190712,卖盘
131,09:36:31,15.38,0.0,125,192261,卖盘
132,09:36:34,15.38,0.0,150,230702,卖盘
133,09:36:37,15.38,0.0,410,630336,买盘
134,09:36:40,15.39,0.01,702,1079639,买盘
135,09:36:43,15.38,-0.01,276,424514,中性盘
136,09:36:46,15.38,0.0,151,232215,卖盘
137,09:36:48,15.39,0.01,126,193806,买盘
138,09:36:52,15.39,0.0,139,213802,买盘
139,09:36:55,15.38,-0.01,316,486243,卖盘
140,09:36:57,15.39,0.01,315,483454,买盘
141,09:37:01,15.39,0.0,1034,1592086,卖盘
142,09:37:04,15.4,0.01,201,309837,中性盘
143,09:37:07,15.41,0.01,488,751252,买盘
144,09:37:10,15.4,-0.01,61,93930,中性盘
145,09:37:13,15.4,0.0,27,41590,卖盘
146,09:37:15,15.4,0.0,260,400551,卖盘
147,09:37:19,15.41,0.01,286,440524,买盘
148,09:37:22,15.4,-0.01,457,704174,卖盘
