date,open,close,high,low,volume,code,股价
2018-06-01,10.395,9.878,10.470999999999998,9.642000000000001,240276.0,600305,10.0
2018-06-04,9.923,9.992,10.083,9.687999999999999,167438.0,600305,10.0
2018-06-05,9.923,10.197000000000001,10.235,9.809,174347.0,600305,10.0
2018-06-06,10.158999999999999,10.205,10.273,10.007,120892.0,600305,10.0
2018-06-07,10.302999999999999,10.052999999999999,10.372,9.969,119306.0,600305,10.0
2018-06-08,10.007,9.847000000000001,10.136000000000001,9.672,167972.0,600305,10.0
2018-06-11,9.741,9.513,9.855,9.368,170733.0,600305,9.5
2018-06-12,9.566,9.885,9.946,9.467,147445.0,600305,9.5
2018-06-13,9.878,9.771,10.015,9.672,139618.0,600305,10.0
2018-06-14,9.657,9.361,9.741,9.277000000000001,168425.0,600305,9.5
2018-06-15,9.43,9.31,9.5,9.1,89744.0,600305,9.5
2018-06-19,9.27,8.74,9.27,8.52,175467.0,600305,9.0
2018-06-20,8.76,9.21,9.44,8.73,209102.0,600305,9.0
2018-06-21,9.18,9.04,9.33,8.88,146552.0,600305,9.0
2018-06-22,9.01,9.14,9.33,8.92,141334.0,600305,9.0
2018-06-25,9.18,9.4,9.61,9.15,200856.0,600305,9.5
2018-06-26,9.28,9.43,9.49,9.22,128455.0,600305,9.0
2018-06-27,9.36,9.05,9.43,8.98,164926.0,600305,9.0
2018-06-28,8.97,8.88,9.03,8.74,165392.0,600305,9.0
2018-06-29,8.91,9.16,9.2,8.85,122801.0,600305,9.0
2018-07-02,9.09,9.02,9.37,8.89,165722.0,600305,9.0
2018-07-03,8.98,9.02,9.08,8.55,150884.0,600305,9.0
2018-07-04,8.96,8.81,8.98,8.75,86883.0,600305,8.5
2018-07-05,8.85,8.6,8.94,8.52,87356.0,600305,8.5
2018-07-06,8.6,8.5,8.75,8.25,143094.0,600305,8.5
2018-07-09,8.58,9.07,9.13,8.52,200500.0,600305,9.0
2018-07-10,9.13,9.3,9.36,9.03,158689.0,600305,9.0
2018-07-11,9.08,9.44,9.63,9.02,217962.0,600305,9.5
2018-07-12,9.36,9.77,9.88,9.35,181734.0,600305,9.5
2018-07-13,9.78,9.96,10.03,9.7,157144.0,600305,10.0
2018-07-16,9.9,10.3,10.44,9.8,183698.0,600305,10.0
2018-07-17,10.27,10.13,10.35,9.99,132270.0,600305,10.0
2018-07-18,10.12,10.05,10.3,9.97,167407.0,600305,10.0
2018-07-19,10.01,10.07,10.24,9.89,155252.0,600305,10.0
2018-07-20,10.06,9.95,10.15,9.72,174345.0,600305,10.0
2018-07-23,9.98,9.96,10.39,9.78,235908.0,600305,10.0
2018-07-24,10.0,10.09,10.14,9.8,156011.0,600305,10.0
2018-07-25,10.05,9.95,10.16,9.89,129678.0,600305,10.0
2018-07-26,9.95,9.84,10.03,9.77,89275.0,600305,10.0
2018-07-27,9.88,9.83,9.92,9.73,77285.0,600305,9.5
2018-07-30,9.82,9.58,9.91,9.44,161966.0,600305,9.5
2018-07-31,9.58,10.09,10.09,9.57,203123.0,600305,10.0
2018-08-01,10.19,9.89,10.26,9.83,201182.0,600305,10.0
2018-08-02,9.84,9.58,9.87,9.4,193322.0,600305,9.5
2018-08-03,9.57,9.12,9.69,9.02,167872.0,600305,9.5
2018-08-06,9.07,8.91,9.15,8.85,96282.0,600305,9.0
2018-08-07,8.89,9.18,9.2,8.86,94861.0,600305,9.0
2018-08-08,9.16,9.02,9.22,8.9,86497.0,600305,9.0
2018-08-09,8.95,9.33,9.47,8.81,119089.0,600305,9.0
2018-08-10,9.26,9.47,9.61,9.23,95358.0,600305,9.5
2018-08-13,9.45,9.43,9.54,9.21,81335.0,600305,9.5
2018-08-14,9.42,9.31,9.48,9.21,80084.0,600305,9.0
2018-08-15,9.29,9.05,9.4,8.97,100042.0,600305,9.0
2018-08-16,8.9,9.16,9.28,8.85,96753.0,600305,9.0
2018-08-17,9.26,8.95,9.26,8.82,96426.0,600305,9.0
2018-08-20,8.88,9.08,9.09,8.84,69056.0,600305,9.0
2018-08-21,9.04,9.72,9.8,8.99,261069.0,600305,9.5
2018-08-22,9.68,9.67,9.78,9.58,159354.0,600305,9.5
2018-08-23,9.65,9.74,9.77,9.6,116679.0,600305,9.5
2018-08-24,9.7,9.71,9.95,9.63,133961.0,600305,9.5
2018-08-27,9.68,10.03,10.07,9.66,147738.0,600305,10.0
2018-08-28,10.06,10.09,10.16,9.9,113732.0,600305,10.0
2018-08-29,10.02,9.9,10.08,9.84,87988.0,600305,10.0
2018-08-30,9.96,9.9,10.08,9.85,72625.0,600305,10.0
2018-08-31,9.89,9.58,9.89,9.58,116310.0,600305,9.5
